vertex_id,part_hint,mds0_norm,mds1_norm,mds2_norm,atlas_u_norm,atlas_v_norm
12666,right_hand,0.96451533,0.57671875,0.81422973,0.96451533,0.42328125
12667,right_hand,0.96048784,0.57704216,0.81141025,0.96048784,0.42295784
12668,right_hand,0.95883977,0.57683641,0.81847411,0.95883977,0.42316359
12669,right_hand,0.96252954,0.57639062,0.80095780,0.96252954,0.42360938
12670,right_hand,0.95374334,0.57939935,0.83238620,0.95374334,0.42060065
12671,right_hand,0.97143763,0.57963991,0.81882995,0.97143763,0.42036009
12672,right_hand,0.95509851,0.57800710,0.83040303,0.95509851,0.42199290
12673,right_hand,0.96055764,0.57665217,0.81615955,0.96055764,0.42334783
12674,right_lower_arm,0.88463253,0.66180253,0.37367067,0.88463253,0.33819747
12675,right_lower_arm,0.88507003,0.66819519,0.38627416,0.88507003,0.33180481
12676,right_lower_arm,0.89208627,0.66258949,0.40934840,0.89208627,0.33741051
12677,right_lower_arm,0.89188671,0.65699077,0.39965186,0.89188671,0.34300923
12678,right_lower_arm,0.88883823,0.66651082,0.40310216,0.88883823,0.33348918
12679,right_lower_arm,0.86639768,0.64661562,0.37424681,0.86639768,0.35338438
12680,right_lower_arm,0.86785364,0.64754581,0.37126303,0.86785364,0.35245419
12681,right_lower_arm,0.87528121,0.64317471,0.39677578,0.87528121,0.35682529
12682,right_lower_arm,0.87453067,0.64233464,0.40002307,0.87453067,0.35766536
12683,right_lower_arm,0.87106848,0.64369249,0.39110702,0.87106848,0.35630751
12684,right_lower_arm,0.87354296,0.64574581,0.38379481,0.87354296,0.35425419
12685,right_lower_arm,0.92260146,0.63886565,0.60196894,0.92260146,0.36113435
12686,right_lower_arm,0.92354828,0.63931900,0.59181637,0.92354828,0.36068100
12687,right_lower_arm,0.92574131,0.63719738,0.60135752,0.92574131,0.36280262
12688,right_lower_arm,0.92048353,0.64105248,0.59141982,0.92048353,0.35894752
12689,right_lower_arm,0.92522830,0.63701177,0.60622633,0.92522830,0.36298823
12690,right_lower_arm,0.91456646,0.63750136,0.63533193,0.91456646,0.36249864
12691,right_lower_arm,0.91168517,0.64112157,0.61577749,0.91168517,0.35887843
12692,right_lower_arm,0.91726089,0.63705981,0.63433385,0.91726089,0.36294019
12693,right_lower_arm,0.91645330,0.63633525,0.64124072,0.91645330,0.36366475
12694,right_lower_arm,0.92147750,0.64138407,0.58220327,0.92147750,0.35861593
12695,right_lower_arm,0.91839159,0.64313263,0.58183396,0.91839159,0.35686737
12696,right_lower_arm,0.92077547,0.64132977,0.58683592,0.92077547,0.35867023
12697,right_lower_arm,0.93373221,0.63049263,0.63513768,0.93373221,0.36950737
12698,right_lower_arm,0.93378198,0.63051599,0.63369763,0.93378198,0.36948401
12699,right_lower_arm,0.93581456,0.62888020,0.64230984,0.93581456,0.37111980
12700,right_lower_arm,0.93232483,0.63196975,0.62199885,0.93232483,0.36803025
12701,right_lower_arm,0.93518382,0.62971067,0.63094401,0.93518382,0.37028933
12702,right_hand,0.95171583,0.58545995,0.75604355,0.95171583,0.41454005
12703,right_hand,0.94830155,0.58656281,0.77979618,0.94830155,0.41343719
12704,right_hand,0.97161686,0.59204388,0.79438883,0.97161686,0.40795612
12705,right_hand,0.96670520,0.59435165,0.82255286,0.96670520,0.40564835
12706,right_hand,0.94929254,0.58569235,0.77943510,0.94929254,0.41430765
12707,right_hand,0.94708675,0.58634001,0.78922749,0.94708675,0.41365999
12708,right_hand,0.97172862,0.59196937,0.79025865,0.97172862,0.40803063
12709,right_hand,0.95212430,0.58476084,0.75774378,0.95212430,0.41523916
12710,right_hand,0.97369009,0.59177899,0.76711470,0.97369009,0.40822101
12711,right_hand,0.95080858,0.58517867,0.77135879,0.95080858,0.41482133
12712,right_hand,0.95055002,0.58457458,0.77916408,0.95055002,0.41542542
12713,right_hand,0.97825491,0.58117253,0.71806723,0.97825491,0.41882747
12714,right_hand,0.97739303,0.58321571,0.71745700,0.97739303,0.41678429
12715,right_hand,0.97804528,0.58345276,0.72233313,0.97804528,0.41654724
12716,right_hand,0.97798413,0.58547741,0.74212915,0.97798413,0.41452259
12717,right_hand,0.97802025,0.58472592,0.73328030,0.97802025,0.41527408
12718,right_hand,0.97972065,0.58284324,0.73472416,0.97972065,0.41715676
12719,right_hand,0.98162150,0.58100969,0.73693067,0.98162150,0.41899031
12720,right_hand,0.97997999,0.58186817,0.74916148,0.97997999,0.41813183
12721,right_hand,0.98193133,0.57885456,0.72715878,0.98193133,0.42114544
12722,right_hand,0.98275560,0.57763362,0.72776425,0.98275560,0.42236638
12723,right_hand,0.98289281,0.57441694,0.72884136,0.98289281,0.42558306
12724,right_hand,0.98176491,0.57926196,0.72765726,0.98176491,0.42073804
12725,right_hand,0.98343951,0.57886279,0.74003953,0.98343951,0.42113721
12726,right_hand,0.98198920,0.57177991,0.72847962,0.98198920,0.42822009
12727,right_hand,0.97947073,0.56970847,0.72780657,0.97947073,0.43029153
12728,right_hand,0.98497117,0.57600707,0.73810881,0.98497117,0.42399293
